user_type,user_id,user_relation,relation,object_type,object_id,condition_name,condition_context
project,root,,parent,project,child,,
user,anne,,admin,project,root,,
user,bob,,member,project,root,,
user,erin,,viewer,project,root,,
user,erin,,access_level_ok,project,root,meets_access_level,"{""user_level"":5}"
user,frank,,access_level_ok,project,root,meets_access_level,"{""user_level"":5}"
user,carol,,viewer,project,child,,
user,grace,,member,group,lab-x,,
group,lab-x,member,viewer,project,child,,
project,child,,project,sample,s1,,
project,root,,project,sample,leveled1,,
project,root,,project,analysis_output,a1,,
